STOCK_ID,CLOSE_PRICE,PRICE_CHANGE,BASE_PRICE,OPEN_PRICE,HIGHEST_PRICE,LOWEST_PRICE,MATCHED_VOLUME,MATCHED_AMOUNT,SELF_DEALED_VOLUME,SELF_DEALED_AMOUNT,RECORDED_DATE
YBM,9.0,0.10 (1.12 %),8.9,9.0,9.3,9.0,10300,0.1 TỶ,0,0,11/03/2024
TVS,24.3,0.25 (1.04 %),24.05,24.65,24.85,24.0,153000,3.73 TỶ,0,0,11/03/2024
ILB,30.6,0.30 (0.99 %),30.3,30.3,30.6,30.2,2700,0.08 TỶ,0,0,11/03/2024
FCN,15.45,0.15 (0.98 %),15.3,15.3,15.85,15.15,4696300,72.65 TỶ,0,0,11/03/2024
AGR,21.2,0.20 (0.95 %),21.0,20.8,21.6,20.5,3084900,64.8 TỶ,0,0,11/03/2024
GMH,10.6,0.10 (0.95 %),10.5,10.55,10.8,10.55,89800,0.96 TỶ,0,0,11/03/2024
TDM,43.9,0.40 (0.92 %),43.5,42.3,43.9,42.3,1300,0.06 TỶ,0,0,11/03/2024
DBD,54.9,0.50 (0.92 %),54.4,54.5,55.5,54.5,15400,0.85 TỶ,0,0,11/03/2024
EVF,17.5,0.15 (0.86 %),17.35,17.4,17.55,16.95,12252200,210.59 TỶ,0,0,11/03/2024
HU1,5.85,0.05 (0.86 %),5.8,5.85,5.85,5.85,6000,0.04 TỶ,0,0,11/03/2024
THG,42.2,0.35 (0.84 %),41.85,41.85,42.5,41.8,77300,3.26 TỶ,0,0,11/03/2024
VCF,191.5,1.50 (0.79 %),190.0,190.2,191.5,190.2,800,0.15 TỶ,0,0,11/03/2024
CMV,9.0,0.07 (0.78 %),8.93,9.0,9.0,9.0,1000,0.01 TỶ,0,0,11/03/2024
GTA,13.7,0.10 (0.74 %),13.6,13.7,13.9,13.2,11500,0.15 TỶ,0,0,11/03/2024
BRC,14.0,0.10 (0.72 %),13.9,13.5,14.3,13.5,2000,0.03 TỶ,0,0,11/03/2024
VAF,14.1,0.10 (0.71 %),14.0,14.0,14.6,14.0,5500,0.08 TỶ,0,0,11/03/2024
DTL,14.7,0.10 (0.68 %),14.6,14.7,14.9,14.7,800,0.01 TỶ,0,0,11/03/2024
SMB,36.8,0.20 (0.55 %),36.6,36.6,37.0,36.6,9100,0.33 TỶ,0,0,11/03/2024
FMC,48.45,0.25 (0.52 %),48.2,48.1,49.6,48.05,134000,6.54 TỶ,0,0,11/03/2024
TYA,10.0,0.05 (0.50 %),9.95,10.05,10.05,10.0,6100,0.06 TỶ,0,0,11/03/2024
TNA,6.12,0.03 (0.49 %),6.09,6.0,6.16,6.0,111800,0.68 TỶ,0,0,11/03/2024
HHP,10.2,0.05 (0.49 %),10.15,10.15,10.3,10.05,342700,3.49 TỶ,0,0,11/03/2024
VIP,11.15,0.05 (0.45 %),11.1,11.1,11.15,11.0,194900,2.16 TỶ,0,0,11/03/2024
BKG,4.61,0.02 (0.44 %),4.59,4.64,4.8,4.58,1994000,9.27 TỶ,0,0,11/03/2024
HDB,23.1,0.10 (0.43 %),23.0,23.0,23.15,22.75,6432300,147.67 TỶ,2630000,59390000000,11/03/2024
VNM,70.3,0.30 (0.43 %),70.0,70.5,71.3,70.0,4208400,297.36 TỶ,60000,4260000000,11/03/2024
NHT,12.15,0.05 (0.41 %),12.1,12.0,12.5,12.0,6100,0.07 TỶ,0,0,11/03/2024
SJS,74.8,0.30 (0.40 %),74.5,75.2,75.5,73.0,215000,16.01 TỶ,192000,13440000000,11/03/2024
ADS,12.75,0.05 (0.39 %),12.7,12.7,13.15,12.6,720200,9.24 TỶ,0,0,11/03/2024
HVH,5.2,0.02 (0.39 %),5.18,5.19,5.21,5.18,137300,0.71 TỶ,0,0,11/03/2024
HVN,13.45,0.05 (0.37 %),13.4,13.4,13.75,13.2,2150700,29.15 TỶ,1770000,23554750000,11/03/2024
VGC,54.4,0.20 (0.37 %),54.2,54.5,55.7,53.8,1098900,59.97 TỶ,0,0,11/03/2024
VPI,57.4,0.20 (0.35 %),57.2,57.1,57.6,56.5,1174100,67.02 TỶ,1000000,53980000000,11/03/2024
CMX,8.89,0.03 (0.34 %),8.86,9.0,9.15,8.84,1064900,9.58 TỶ,0,0,11/03/2024
GMC,8.9,0.03 (0.34 %),8.87,8.86,9.39,8.76,6500,0.06 TỶ,0,0,11/03/2024
SBG,16.4,0.05 (0.31 %),16.35,16.3,16.4,16.3,80200,1.31 TỶ,0,0,11/03/2024
CTD,69.2,0.20 (0.29 %),69.0,68.8,70.7,68.6,2604300,180.83 TỶ,0,0,11/03/2024
HTI,17.3,0.05 (0.29 %),17.25,17.2,17.35,17.2,19300,0.33 TỶ,0,0,11/03/2024
TCR,3.7,0.01 (0.27 %),3.69,3.7,3.7,3.7,100,0 TỶ,0,0,11/03/2024
TRC,37.0,0.10 (0.27 %),36.9,36.8,38.95,34.6,1700,0.06 TỶ,0,0,11/03/2024
MSH,40.6,0.10 (0.25 %),40.5,40.95,41.55,40.3,211900,8.66 TỶ,0,0,11/03/2024
SZC,43.2,0.10 (0.23 %),43.1,43.6,44.4,42.75,1591800,69.33 TỶ,0,0,11/03/2024
LBM,43.6,0.10 (0.23 %),43.5,43.7,43.75,43.35,47300,2.06 TỶ,0,0,11/03/2024
HNA,22.25,0.05 (0.23 %),22.2,22.2,22.3,22.2,4700,0.1 TỶ,0,0,11/03/2024
STG,45.7,0.10 (0.22 %),45.6,45.6,45.7,45.5,2500,0.11 TỶ,0,0,11/03/2024
VSH,50.0,0.10 (0.20 %),49.9,50.0,50.5,49.1,30000,1.5 TỶ,0,0,11/03/2024
DTA,5.06,0.01 (0.20 %),5.05,5.05,5.07,5.0,5500,0.03 TỶ,0,0,11/03/2024
RAL,125.7,0.20 (0.16 %),125.5,125.5,128.0,125.5,15200,1.92 TỶ,0,0,11/03/2024
TMP,72.9,0.10 (0.14 %),72.8,73.0,73.0,72.5,900,0.07 TỶ,0,0,11/03/2024
KOS,40.05,0.05 (0.12 %),40.0,40.0,40.2,39.9,412500,16.52 TỶ,0,0,11/03/2024
TBC,39.0,0.00 (0.00 %),39.0,39.0,39.3,39.0,6000,0.23 TỶ,0,0,11/03/2024
OPC,23.2,0.00 (0.00 %),23.2,23.2,23.2,23.15,4700,0.11 TỶ,1094200,25467940000,11/03/2024
VHM,42.55,0.00 (0.00 %),42.55,42.6,43.0,42.5,6056200,258.59 TỶ,82800,3526452000,11/03/2024
SSC,32.6,0.00 (0.00 %),32.6,32.6,32.6,32.6,0,0 TỶ,0,0,11/03/2024
TVT,16.7,0.00 (0.00 %),16.7,16.65,16.7,16.6,8700,0.14 TỶ,0,0,11/03/2024
ASG,21.5,0.00 (0.00 %),21.5,21.5,21.5,21.5,0,0 TỶ,0,0,11/03/2024
VPD,25.4,0.00 (0.00 %),25.4,25.35,25.4,25.3,8900,0.23 TỶ,0,0,11/03/2024
HII,6.16,0.00 (0.00 %),6.16,6.16,6.2,6.11,76000,0.47 TỶ,0,0,11/03/2024
HMC,12.1,0.00 (0.00 %),12.1,11.95,12.1,11.95,5300,0.06 TỶ,0,0,11/03/2024
PGD,37.0,0.00 (0.00 %),37.0,37.0,37.0,37.0,0,0 TỶ,0,0,11/03/2024
UIC,37.3,0.00 (0.00 %),37.3,38.0,38.0,37.0,13700,0.51 TỶ,0,0,11/03/2024
SBV,11.1,0.00 (0.00 %),11.1,11.0,11.1,10.95,5700,0.06 TỶ,0,0,11/03/2024
HTV,9.44,0.00 (0.00 %),9.44,9.44,9.44,9.44,0,0 TỶ,0,0,11/03/2024
SVT,11.3,0.00 (0.00 %),11.3,11.3,11.3,11.3,1500,0.02 TỶ,0,0,11/03/2024
MCP,39.0,0.00 (0.00 %),39.0,39.0,39.0,39.0,200,0.01 TỶ,0,0,11/03/2024
LM8,13.8,0.00 (0.00 %),13.8,13.8,13.8,13.8,500,0.01 TỶ,0,0,11/03/2024
VDP,41.25,0.00 (0.00 %),41.25,41.25,41.25,41.25,0,0 TỶ,0,0,11/03/2024
SHI,15.0,0.00 (0.00 %),15.0,15.0,15.0,14.7,248200,3.66 TỶ,100000,1490000000,11/03/2024
